Date,CompanyName,Ticker,Price,TotalReturn,PriceReturn
30/01/2009,Microsoft,MSFT,17.1,-0.027857,-0.027857
02/02/2009,Microsoft,MSFT,17.83,0.04269,0.04269
03/02/2009,Microsoft,MSFT,18.5,0.037577,0.037577
04/02/2009,Microsoft,MSFT,18.63,0.007027,0.007027
05/02/2009,Microsoft,MSFT,19.04,0.022008,0.022008
06/02/2009,Microsoft,MSFT,19.66,0.032563,0.032563
09/02/2009,Microsoft,MSFT,19.44,-0.01119,-0.01119
10/02/2009,Microsoft,MSFT,18.8,-0.032922,-0.032922
11/02/2009,Microsoft,MSFT,19.21,0.021809,0.021809
12/02/2009,Microsoft,MSFT,19.26,0.002603,0.002603
13/02/2009,Microsoft,MSFT,19.09,-0.008827,-0.008827
17/02/2009,Microsoft,MSFT,18.09,-0.045574,-0.052383
18/02/2009,Microsoft,MSFT,18.12,0.001658,0.001658
19/02/2009,Microsoft,MSFT,17.91,-0.011589,-0.011589
20/02/2009,Microsoft,MSFT,18,0.005025,0.005025
23/02/2009,Microsoft,MSFT,17.21,-0.043889,-0.043889
24/02/2009,Microsoft,MSFT,17.17,-0.002324,-0.002324
25/02/2009,Microsoft,MSFT,16.96,-0.012231,-0.012231
26/02/2009,Microsoft,MSFT,16.42,-0.03184,-0.03184
27/02/2009,Microsoft,MSFT,16.15,-0.016443,-0.016443
02/03/2009,Microsoft,MSFT,15.79,-0.022291,-0.022291
03/03/2009,Microsoft,MSFT,15.88,0.0057,0.0057
04/03/2009,Microsoft,MSFT,16.12,0.015113,0.015113
05/03/2009,Microsoft,MSFT,15.27,-0.05273,-0.05273
06/03/2009,Microsoft,MSFT,15.28,0.000655,0.000655
09/03/2009,Microsoft,MSFT,15.15,-0.008508,-0.008508
10/03/2009,Microsoft,MSFT,16.48,0.087789,0.087789
11/03/2009,Microsoft,MSFT,17.11,0.038228,0.038228
12/03/2009,Microsoft,MSFT,17.01,-0.005845,-0.005845
13/03/2009,Microsoft,MSFT,16.65,-0.021164,-0.021164
16/03/2009,Microsoft,MSFT,16.25,-0.024024,-0.024024
17/03/2009,Microsoft,MSFT,16.9,0.04,0.04
18/03/2009,Microsoft,MSFT,16.96,0.00355,0.00355
19/03/2009,Microsoft,MSFT,17.14,0.010613,0.010613
20/03/2009,Microsoft,MSFT,17.06,-0.004667,-0.004667
23/03/2009,Microsoft,MSFT,18.33,0.074443,0.074443
24/03/2009,Microsoft,MSFT,17.93,-0.021822,-0.021822
25/03/2009,Microsoft,MSFT,17.88,-0.002789,-0.002789
26/03/2009,Microsoft,MSFT,18.83,0.053132,0.053132
27/03/2009,Microsoft,MSFT,18.13,-0.037175,-0.037175
30/03/2009,Microsoft,MSFT,17.48,-0.035852,-0.035852
31/03/2009,Microsoft,MSFT,18.37,0.050915,0.050915
01/04/2009,Microsoft,MSFT,19.31,0.05117,0.05117
02/04/2009,Microsoft,MSFT,19.29,-0.001036,-0.001036
03/04/2009,Microsoft,MSFT,18.75,-0.027994,-0.027994
06/04/2009,Microsoft,MSFT,18.76,0.000533,0.000533
07/04/2009,Microsoft,MSFT,18.76,0,0
08/04/2009,Microsoft,MSFT,19.19,0.022921,0.022921
09/04/2009,Microsoft,MSFT,19.67,0.025013,0.025013
13/04/2009,Microsoft,MSFT,19.59,-0.004067,-0.004067
14/04/2009,Microsoft,MSFT,19.35,-0.012251,-0.012251
15/04/2009,Microsoft,MSFT,18.83,-0.026873,-0.026873
16/04/2009,Microsoft,MSFT,19.76,0.049389,0.049389
17/04/2009,Microsoft,MSFT,19.2,-0.02834,-0.02834
20/04/2009,Microsoft,MSFT,18.61,-0.030729,-0.030729
21/04/2009,Microsoft,MSFT,18.97,0.019344,0.019344
22/04/2009,Microsoft,MSFT,18.78,-0.010016,-0.010016
23/04/2009,Microsoft,MSFT,18.92,0.007455,0.007455
24/04/2009,Microsoft,MSFT,20.91,0.10518,0.10518
27/04/2009,Microsoft,MSFT,20.4,-0.02439,-0.02439
28/04/2009,Microsoft,MSFT,19.93,-0.023039,-0.023039
29/04/2009,Microsoft,MSFT,20.25,0.016056,0.016056
30/04/2009,Microsoft,MSFT,20.26,0.000494,0.000494
01/05/2009,Microsoft,MSFT,20.24,-0.000987,-0.000987
04/05/2009,Microsoft,MSFT,20.19,-0.00247,-0.00247
05/05/2009,Microsoft,MSFT,19.79,-0.019812,-0.019812
06/05/2009,Microsoft,MSFT,19.79,0,0
07/05/2009,Microsoft,MSFT,19.32,-0.023749,-0.023749
08/05/2009,Microsoft,MSFT,19.42,0.005176,0.005176
11/05/2009,Microsoft,MSFT,19.32,-0.005149,-0.005149
12/05/2009,Microsoft,MSFT,19.89,0.029503,0.029503
13/05/2009,Microsoft,MSFT,19.75,-0.007039,-0.007039
14/05/2009,Microsoft,MSFT,20.06,0.015696,0.015696
15/05/2009,Microsoft,MSFT,20.22,0.007976,0.007976
18/05/2009,Microsoft,MSFT,20.6,0.018793,0.018793
19/05/2009,Microsoft,MSFT,20.31,-0.007767,-0.014078
20/05/2009,Microsoft,MSFT,20.38,0.003447,0.003447
21/05/2009,Microsoft,MSFT,19.82,-0.027478,-0.027478
22/05/2009,Microsoft,MSFT,19.75,-0.003532,-0.003532
26/05/2009,Microsoft,MSFT,20.34,0.029873,0.029873
27/05/2009,Microsoft,MSFT,20.13,-0.010324,-0.010324
